number,surah,index,riwayah,ayah,canonical_rasm_rasm_uthmani,riwayah_rasm_uthmani,same_rasm,status
76763,93,14,warsh,4,ٱلۡأُولَىٰ,ࡰ۬لُاولٜىٰ,1,diacritic_variant
76763,93,14,qalun,4,ٱلۡأُولَىٰ,ࡰ۬لْأُولَىٰ,1,diacritic_variant
76763,93,14,duri,4,ٱلۡأُولَىٰ,اَ۬لۡأُولۭيٰ,1,diacritic_variant
76763,93,14,susi,4,ٱلۡأُولَىٰ,ࡱ۬لۡأُول۪ىٰ,1,diacritic_variant
76764,93,15,warsh,5,وَلَسَوۡفَ,وَلَسَوْفَ,1,identical
76764,93,15,qalun,5,وَلَسَوۡفَ,وَلَسَوْفَ,1,identical
76765,93,16,warsh,5,يُعۡطِيكَ,يُعْطِيكَ,1,identical
76765,93,16,qalun,5,يُعۡطِيكَ,يُعْطِيكَ,1,identical
76767,93,18,warsh,5,فَتَرۡضَىٰٓ,فَتَرْضٜىٰٓ,1,diacritic_variant
76767,93,18,qalun,5,فَتَرۡضَىٰٓ,فَتَرْضَىٰ,1,diacritic_variant
76767,93,18,duri,5,فَتَرۡضَىٰٓ,فَتَرۡضۭيٰٓ,1,diacritic_variant
76767,93,18,susi,5,فَتَرۡضَىٰٓ,فَتَرۡض۪ىٰ,1,diacritic_variant
76767,93,18,bazzi,5,فَتَرۡضَىٰٓ,فَتَرۡضَىٰ,1,diacritic_variant
76768,93,19,warsh,6,أَلَمۡ,أَلَمْ,1,identical
76768,93,19,qalun,6,أَلَمۡ,أَلَمْ,1,identical
76769,93,20,warsh,6,يَجِدۡكَ,يَجِدْكَ,1,identical
76769,93,20,qalun,6,يَجِدۡكَ,يَجِدْكَ,1,identical
76770,93,21,warsh,6,يَتِيمࣰا,يَتِيماࣰ,1,diacritic_variant
76770,93,21,qalun,6,يَتِيمࣰا,يَتِيماࣰ,1,diacritic_variant
76770,93,21,duri,6,يَتِيمࣰا,يَتِيمٗا,1,diacritic_variant
76771,93,22,warsh,6,فََٔاوَىٰ,فََٔاوٜىٰ,1,diacritic_variant
76771,93,22,duri,6,فََٔاوَىٰ,فََٔاوۭيٰ,1,diacritic_variant
76771,93,22,susi,6,فََٔاوَىٰ,فََٔاو۪ىٰ,1,diacritic_variant
76773,93,24,warsh,7,ضَآلࣰّا,ضَآلّاࣰ,1,diacritic_variant
76773,93,24,qalun,7,ضَآلࣰّا,ضَآلّاࣰ,1,diacritic_variant
76773,93,24,duri,7,ضَآلࣰّا,ضَآلّٗا,1,diacritic_variant
76774,93,25,warsh,7,فَهَدَىٰ,فَهَدٜىٰ,1,diacritic_variant
76774,93,25,duri,7,فَهَدَىٰ,فَهَدۭيٰ,1,diacritic_variant
76774,93,25,susi,7,فَهَدَىٰ,فَهَد۪ىٰ,1,diacritic_variant
76776,93,27,warsh,8,عَآئِلࣰا,عَآئِلاࣰ,1,diacritic_variant
76776,93,27,qalun,8,عَآئِلࣰا,عَآئِلاࣰ,1,diacritic_variant
76776,93,27,duri,8,عَآئِلࣰا,عَآئِلٗا,1,diacritic_variant
76777,93,28,warsh,8,فَأَغۡنَىٰ,فَأَغْنٜىٰ,1,diacritic_variant
76777,93,28,qalun,8,فَأَغۡنَىٰ,فَأَغْنَىٰ,1,diacritic_variant
76777,93,28,duri,8,فَأَغۡنَىٰ,فَأَغۡنۭيٰ,1,diacritic_variant
76777,93,28,susi,8,فَأَغۡنَىٰ,فَأَغۡن۪ىٰ,1,diacritic_variant
76779,93,30,warsh,9,ٱلۡيَتِيمَ,ࡰ۬لْيَتِيمَ,1,diacritic_variant
76779,93,30,qalun,9,ٱلۡيَتِيمَ,ࡰ۬لْيَتِيمَ,1,diacritic_variant
76779,93,30,duri,9,ٱلۡيَتِيمَ,اَ۬لۡيَتِيمَ,1,diacritic_variant
76779,93,30,susi,9,ٱلۡيَتِيمَ,ࡱ۬لۡيَتِيمَ,1,diacritic_variant
76781,93,32,warsh,9,تَقۡهَرۡ,تَقْهَرْ,1,identical
76781,93,32,qalun,9,تَقۡهَرۡ,تَقْهَرْ,1,identical
76783,93,34,warsh,10,ٱلسَّآئِلَ,ࡰ۬لسَّآئِلَ,1,diacritic_variant
76783,93,34,qalun,10,ٱلسَّآئِلَ,ࡰ۬لسَّآئِلَ,1,diacritic_variant
76783,93,34,duri,10,ٱلسَّآئِلَ,اَ۬لسَّآئِلَ,1,diacritic_variant
76783,93,34,susi,10,ٱلسَّآئِلَ,ࡱ۬لسَّآئِلَ,1,diacritic_variant
76785,93,36,warsh,10,تَنۡهَرۡ,تَنْهَرْ,1,identical
76785,93,36,qalun,10,تَنۡهَرۡ,تَنْهَرْ,1,identical
76787,93,38,warsh,11,بِنِعۡمَةِ,بِنِعْمَةِ,1,identical
76787,93,38,qalun,11,بِنِعۡمَةِ,بِنِعْمَةِ,1,identical
76789,93,40,warsh,11,فَحَدِّثۡ,فَحَدِّثَ,1,diacritic_variant
76789,93,40,qalun,11,فَحَدِّثۡ,فَحَدِّثْ,1,diacritic_variant
76790,94,1,warsh,1,أَلَمۡ,ࡰلَمْ,1,identical
76790,94,1,qalun,1,أَلَمۡ,أَلَمْ,1,identical
76791,94,2,warsh,1,نَشۡرَحۡ,نَشْرَحْ,1,identical
76791,94,2,qalun,1,نَشۡرَحۡ,نَشْرَحْ,1,identical
76793,94,4,warsh,1,صَدۡرَكَ,صَدْرَكَ,1,identical
76793,94,4,qalun,1,صَدۡرَكَ,صَدْرَكَ,1,identical
76794,94,5,warsh,2,وَوَضَعۡنَا,وَوَضَعْنَا,1,identical
76794,94,5,qalun,2,وَوَضَعۡنَا,وَوَضَعْنَا,1,identical
76796,94,7,warsh,2,وِزۡرَكَ,وِزْرَكَ,1,identical
76796,94,7,qalun,2,وِزۡرَكَ,وِزْرَكَ,1,identical
76797,94,8,warsh,3,ٱلَّذِيٓ,ࡰ۬لذِےٓ,1,diacritic_variant
76797,94,8,qalun,3,ٱلَّذِيٓ,ࡰ۬لذِے,1,diacritic_variant
76797,94,8,duri,3,ٱلَّذِيٓ,اَ۬لَّذِيٓ,1,diacritic_variant
76797,94,8,susi,3,ٱلَّذِيٓ,ࡱ۬لَّذِي,1,diacritic_variant
76797,94,8,bazzi,3,ٱلَّذِيٓ,ٱلَّذِي,1,diacritic_variant
