word_id,sura,word_index,aya_hafs,status,rasm,missing_in,joined_in,distinct_forms,forms
9263,3,3117,180,rasm_variant,تعملون,,,3,"تَعۡمَلُونَ [hafs,shuba]  ||  تَعْمَلُونَ [warsh,qaloun]  ||  يَعۡمَلُونَ [douri,sousi,bazzi]"
9294,3,3148,182,rasm_variant,بظلام,,,3,"بِظَلَّامࣲ [hafs,shuba,sousi,bazzi]  ||  بِظَلَّٰمࣲ [warsh,qaloun]  ||  بِظَلَّامٖ [douri]"
9390,3,3244,187,rasm_variant,ليبيننه,,,2,"لَتُبَيِّنُنَّهُۥ [hafs,warsh,qaloun]  ||  لَيُبَيِّنُنَّهُۥ [shuba,douri,sousi,bazzi]"
9393,3,3247,187,rasm_variant,يكتمونه,,,3,"تَكۡتُمُونَهُۥ [hafs]  ||  يَكۡتُمُونَهُۥ [shuba,douri,sousi,bazzi]  ||  تَكْتُمُونَهُۥ [warsh,qaloun]"
9405,3,3259,188,rasm_variant,يحسبن,,,3,"تَحۡسَبَنَّ [hafs,shuba]  ||  يَحْسِبَنَّ [warsh,qaloun]  ||  يَحۡسِبَنَّ [douri,sousi,bazzi]"
9417,3,3271,188,rasm_variant,تحسبنهم,,,4,"تَحۡسَبَنَّهُم [hafs,shuba]  ||  تَحْسِبَنَّهُم [warsh,qaloun]  ||  يَحۡسِبُنَّهُم [douri,sousi]  ||  يَحۡسِبُنَّهُمُۥ [bazzi]"
9483,3,3337,193,rasm_variant,ءامنوا,,,2,"ءَامِنُواْ [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰمِنُواْ [warsh]"
9716,4,89,5,rasm_variant,السفها,,,5,"ٱلسُّفَهَآءَ [hafs,shuba]  ||  ࡲ۬لسُّفَهَآءَ [warsh]  ||  ࡲ۬لسُّفَهَا [qaloun,sousi]  ||  اُ۬لسُّفَهَآ [douri]  ||  ٱلسُّفَهَا [bazzi]"
9737,4,110,6,rasm_variant,ءانستم,,,4,"ءَانَسۡتُم [hafs,shuba,douri,sousi]  ||  اٰنَسْتُم [warsh]  ||  ءَانَسْتُم [qaloun]  ||  ءَانَسۡتُمُۥ [bazzi]"
9771,4,144,7,rasm_variant,الولدان,,,4,"ٱلۡوَٰلِدَانِ [hafs,shuba,bazzi]  ||  ࡰ۬لْوَٰلِدَٰنِ [warsh,qaloun]  ||  اَ۬لۡوَٰلِدَانِ [douri]  ||  ࡱ۬لۡوَٰلِدَانِ [sousi]"
