number,surah,index,ayah_hafs,status,rasm,missing_in,written_joined_by,resegmented_in,distinct_forms,forms
24700,9,918,47,rasm_variant,ولاوصعوا,,,,3,"وَلَأَوۡضَعُواْ [hafs,shubah,bazzi]  ||  وَلَأَوْضَعُواْ [qalun,warsh]  ||  وَلَأَاْوۡضَعُواْ [duri,susi]"
25685,9,1903,,partial,مں,hafs|shubah|warsh|qalun|duri|susi,,,1,مِن [bazzi]
25793,9,2011,107,rasm_variant,والدٮں,,,,4,"وَٱلَّذِينَ [hafs,shubah,bazzi]  ||  ࡴ۬لذِينَ [qalun,warsh]  ||  وَاَلَّذِينَ [duri]  ||  وَࡱلَّذِينَ [susi]"
26811,10,530,26,word_boundary,ڡٮر,,,duri,2,"قَتَرࣱ [hafs,shubah,bazzi,qalun,warsh,susi]  ||  قَتَرٞ [duri]"
26812,10,531,26,word_boundary,ولا,,,duri,1,"وَلَا [hafs,shubah,bazzi,qalun,warsh,duri,susi]"
27793,10,1512,89,alif_variant,ٮٮٮعاں,,,,2,"تَتَّبِعَآنِّ [hafs,shubah,bazzi,duri,susi]  ||  تَتَّبِعَٰٓنِّ [qalun,warsh]"
27800,10,1519,90,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
27821,10,1540,90,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
27849,10,1568,93,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
28514,11,400,24,alif_variant,ٮسٮوٮاں,,,,2,"يَسۡتَوِيَانِ [hafs,shubah,bazzi,duri,susi]  ||  يَسْتَوِيَٰنِ [qalun,warsh]"
28823,11,709,43,alif_variant,عاصم,,,,2,"عَاصِمَ [hafs,shubah,bazzi,duri,susi]  ||  عَٰصِمَ [qalun,warsh]"
29368,11,1254,78,word_boundary,كاٮوا,,,duri,1,"كَانُواْ [hafs,shubah,bazzi,qalun,warsh,duri,susi]"
29369,11,1255,78,word_boundary,ٮعملوں,,,duri,2,"يَعۡمَلُونَ [hafs,shubah,bazzi,duri,susi]  ||  يَعْمَلُونَ [qalun,warsh]"
29752,11,1638,102,alif_variant,طلمه,,,,2,"ظَٰلِمَةٌ [hafs,shubah,bazzi,duri,susi]  ||  ظَالِمَةٌ [qalun,warsh]"
30557,12,526,36,alif_variant,ڡٮٮاں,,,,2,"فَتَيَانِ [hafs,shubah,bazzi,duri,susi]  ||  فَتَيَٰنِ [qalun,warsh]"
30585,12,554,37,alif_variant,ٮررڡاٮه,,,,4,"تُرۡزَقَانِهِۦٓ [hafs,shubah,duri]  ||  تُرۡزَقَانِهِۦ [bazzi,susi]  ||  تُرْزَقَٰنِهِۦ [qalun]  ||  تُرْزَقَٰنِهِۦٓ [warsh]"
30692,12,661,41,alif_variant,ٮسٮڡٮٮاں,,,,2,"تَسۡتَفۡتِيَانِ [hafs,shubah,bazzi,duri,susi]  ||  تَسْتَفْتِيَٰنِ [qalun,warsh]"
31387,12,1356,84,alif_variant,عٮٮاه,,,,3,"عَيۡنَاهُ [hafs,shubah,duri,susi]  ||  عَيۡنَاهُۥ [bazzi]  ||  عَيْنَٰهُ [qalun,warsh]"
31777,12,1746,110,rasm_variant,ڡٮحى,,,,3,"فَنُجِّيَ [hafs,shubah]  ||  فَنُۨجِي [bazzi,duri,susi]  ||  فَنُنجِے [qalun,warsh]"
31919,13,111,5,alif_variant,اعٮاڡهم,,,,3,"أَعۡنَاقِهِمۡ [hafs,shubah,duri,susi]  ||  أَعۡنَاقِهِمُۥ [bazzi]  ||  أَعْنَٰقِهِمْ [qalun,warsh]"
32256,13,448,22,alif_variant,وعلاٮٮه,,,,3,"وَعَلَانِيَةࣰ [hafs,shubah,bazzi,susi]  ||  وَعَلَٰنِيَةࣰ [qalun,warsh]  ||  وَعَلَانِيَةٗ [duri]"
33201,14,539,31,alif_variant,وعلاٮٮه,,,,3,"وَعَلَانِيَةࣰ [hafs,shubah,bazzi,susi]  ||  وَعَلَٰنِيَةࣰ [qalun,warsh]  ||  وَعَلَانِيَةٗ [duri]"
35766,16,1620,112,alif_variant,ڡادڡها,,,,2,"فَأَذَٰقَهَا [hafs,shubah,bazzi,duri,susi]  ||  فَأَذَاقَهَا [qalun,warsh]"
36018,17,28,2,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
36036,17,46,4,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
36329,17,339,24,alif_variant,رٮٮاٮى,,,,2,"رَبَّيَانِي [hafs,shubah,bazzi,duri,susi]  ||  رَبَّيَٰنِے [qalun,warsh]"
37273,17,1283,93,rasm_variant,ڡل,,,,3,"قُلۡ [hafs,shubah,duri,susi]  ||  قَالَ [bazzi]  ||  قُلْ [qalun,warsh]"
37274,17,1284,93,alif_variant,سٮحاں,,,,2,"سُبۡحَانَ [hafs,shubah,bazzi,duri,susi]  ||  سُبْحَٰنَ [qalun,warsh]"
37407,17,1417,101,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
37445,17,1455,104,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
37989,18,443,28,alif_variant,عٮٮاك,,,,2,"عَيۡنَاكَ [hafs,shubah,bazzi,duri,susi]  ||  عَيْنَٰكَ [qalun,warsh]"
38135,18,589,36,rasm_variant,مٮها,,,,3,"مِّنۡهَا [hafs,shubah,duri,susi]  ||  مِّنۡهُمَا [bazzi]  ||  مِّنْهُمَا [qalun,warsh]"
38139,18,593,37,alif_variant,صاحٮه,,,,2,"صَاحِبُهُۥ [hafs,shubah,bazzi,duri,susi]  ||  صَٰحِبُهُۥ [qalun,warsh]"
38189,18,643,40,alif_variant,حسٮاٮا,,,,3,"حُسۡبَانࣰا [hafs,shubah,bazzi,susi]  ||  حُسْبَٰناࣰ [qalun,warsh]  ||  حُسۡبَانٗا [duri]"
38456,18,910,57,alif_variant,ٮداه,,,,3,"يَدَاهُ [hafs,shubah,duri,susi]  ||  يَدَاهُۥ [bazzi]  ||  يَدَٰهُ [qalun,warsh]"
38753,18,1207,80,alif_variant,اٮواه,,,,3,"أَبَوَاهُ [hafs,shubah,duri,susi]  ||  أَبَوَاهُۥ [bazzi]  ||  أَبَوَٰهُ [qalun,warsh]"
38936,18,1390,95,rasm_variant,مكٮى,,,,3,"مَكَّنِّي [hafs,shubah,duri,susi]  ||  مَكَّنَنِي [bazzi]  ||  مَكَّنِّے [qalun,warsh]"
39298,19,173,19,rasm_variant,لاهٮ,,,,4,"لِأَهَبَ [hafs,shubah,bazzi,qalun]  ||  لِاَهَبَ [warsh]  ||  لِاَ۬هَبَ [duri]  ||  لِاَۧهَبَ [susi]"
39422,19,297,31,alif_variant,مٮاركا,,,,2,"مُبَارَكًا [hafs,shubah,bazzi,duri,susi]  ||  مُبَٰرَكاً [qalun,warsh]"
39709,19,584,58,alif_variant,واسرٮل,,,,2,"وَإِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  وَإِسْرَآءِيلَ [qalun,warsh]"
40405,20,319,47,alif_variant,ڡاٮٮاه,,,,5,"فَأۡتِيَاهُ [hafs,shubah,duri]  ||  فَأۡتِيَاهُۥ [bazzi]  ||  فَأْتِيَٰهُ [qalun]  ||  فَاتِيَٰهُ [warsh]  ||  فَاتِيَاهُ [susi]"
40413,20,327,47,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
40566,20,480,63,alif_variant,ٮرٮداں,,,,2,"يُرِيدَانِ [hafs,shubah,bazzi,duri,susi]  ||  يُرِيدَٰنِ [qalun,warsh]"
40568,20,482,63,alif_variant,ٮحرحاكم,,,,3,"يُخۡرِجَاكُم [hafs,shubah,duri,susi]  ||  يُخۡرِجَاكُمُۥ [bazzi]  ||  يُّخْرِجَٰكُم [qalun,warsh]"
40769,20,683,80,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
40946,20,860,94,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
41131,20,1045,112,rasm_variant,ٮحاڡ,,,,2,"يَخَافُ [hafs,shubah,qalun,warsh,duri,susi]  ||  يَخَفۡ [bazzi]"
41230,20,1144,121,alif_variant,ٮحصڡاں,,,,2,"يَخۡصِفَانِ [hafs,shubah,bazzi,duri,susi]  ||  يَخْصِفَٰنِ [qalun,warsh]"
