number,surah,index,ayah_hafs,status,rasm,missing_in,written_joined_by,resegmented_in,distinct_forms,forms
63616,43,574,59,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
63696,43,654,68,rasm_variant,ٮعٮادى,,,,4,"يَٰعِبَادِ [hafs,bazzi]  ||  يَٰعِبَادِيَ [shubah]  ||  يَٰعِبَادِے [qalun,warsh]  ||  يَٰعِبَادِي [duri,susi]"
63722,43,680,71,rasm_variant,ٮسٮهى,,,,3,"تَشۡتَهِيهِ [hafs]  ||  تَشۡتَهِي [shubah,bazzi,duri,susi]  ||  تَشْتَهِيهِ [qalun,warsh]"
63826,43,784,85,alif_variant,وٮٮارك,,,,2,"وَتَبَارَكَ [hafs,shubah,bazzi,duri,susi]  ||  وَتَبَٰرَكَ [qalun,warsh]"
64048,44,176,30,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
64390,45,172,16,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
64861,46,155,10,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
64932,46,226,15,rasm_variant,حسٮا,,,,3,"إِحۡسَٰنًا [hafs,shubah]  ||  حُسۡنًا [bazzi,duri,susi]  ||  حُسْناً [qalun,warsh]"
64997,46,291,17,alif_variant,اٮعداٮٮى,,,,4,"أَتَعِدَانِنِيٓ [hafs,shubah,duri]  ||  أَتَعِدَانِنِيَ [bazzi]  ||  أَتَعِدَٰنِنِيَ [qalun,warsh]  ||  أَتَعِدَانِنِي [susi]"
65006,46,300,17,alif_variant,ٮسٮعٮٮاں,,,,2,"يَسۡتَغِيثَانِ [hafs,shubah,bazzi,duri,susi]  ||  يَسْتَغِيثَٰنِ [qalun,warsh]"
66577,49,129,9,alif_variant,طاٮڡٮاں,,,,2,"طَآئِفَتَانِ [hafs,shubah,bazzi,duri,susi]  ||  طَآئِفَتَٰنِ [qalun,warsh]"
66932,50,137,17,alif_variant,المٮلڡٮاں,,,,4,"ٱلۡمُتَلَقِّيَانِ [hafs,shubah,bazzi]  ||  ࡰ۬لْمُتَلَقِّيَٰنِ [qalun,warsh]  ||  اَ۬لۡمُتَلَقِّيَانِ [duri]  ||  ࡱ۬لۡمُتَلَقِّيَانِ [susi]"
67001,50,206,26,alif_variant,ڡالڡٮاه,,,,3,"فَأَلۡقِيَاهُ [hafs,shubah,duri,susi]  ||  فَأَلۡقِيَاهُۥ [bazzi]  ||  فَأَلْقِيَٰهُ [qalun,warsh]"
67846,53,6,2,alif_variant,صاحٮكم,,,,3,"صَاحِبُكُمۡ [hafs,shubah,duri,susi]  ||  صَاحِبُكُمُۥ [bazzi]  ||  صَٰحِبُكُمْ [qalun,warsh]"
68385,54,185,29,alif_variant,صاحٮهم,,,,3,"صَاحِبَهُمۡ [hafs,shubah,duri,susi]  ||  صَاحِبَهُمُۥ [bazzi]  ||  صَٰحِبَهُمْ [qalun,warsh]"
68555,55,13,6,alif_variant,ٮسحداں,,,,2,"يَسۡجُدَانِ [hafs,shubah,bazzi,duri,susi]  ||  يَسْجُدَٰنِ [qalun,warsh]"
68611,55,69,19,alif_variant,ٮلٮڡٮاں,,,,2,"يَلۡتَقِيَانِ [hafs,shubah,bazzi,duri,susi]  ||  يَلْتَقِيَٰنِ [qalun,warsh]"
68615,55,73,20,alif_variant,ٮٮعٮاں,,,,2,"يَبۡغِيَانِ [hafs,shubah,bazzi,duri,susi]  ||  يَبْغِيَٰنِ [qalun,warsh]"
68622,55,80,22,rasm_variant,اللولو,,,,5,"ٱللُّؤۡلُؤُ [hafs,bazzi]  ||  ٱللُّولُؤُ [shubah]  ||  ࡰ۬للُّؤْلُؤُاْ [qalun,warsh]  ||  اَ۬للُّؤۡلُؤُ [duri]  ||  ࡱ۬للُّولُؤُ [susi]"
68669,55,127,31,alif_variant,الٮڡلاں,,,,4,"ٱلثَّقَلَانِ [hafs,shubah,bazzi]  ||  ࡰ۬لثَّقَلَٰنِ [qalun,warsh]  ||  اَ۬لثَّقَلَانِ [duri]  ||  ࡱ۬لثَّقَلَانِ [susi]"
68701,55,159,35,alif_variant,ٮٮٮصراں,,,,2,"تَنتَصِرَانِ [hafs,shubah,bazzi,duri,susi]  ||  تَنتَصِرَٰنِ [qalun,warsh]"
68757,55,215,46,alif_variant,حٮٮاں,,,,2,"جَنَّتَانِ [hafs,shubah,bazzi,duri,susi]  ||  جَنَّتَٰنِ [qalun,warsh]"
68769,55,227,50,alif_variant,عٮٮاں,,,,2,"عَيۡنَانِ [hafs,shubah,bazzi,duri,susi]  ||  عَيْنَٰنِ [qalun,warsh]"
68770,55,228,50,alif_variant,ٮحرٮاں,,,,2,"تَجۡرِيَانِ [hafs,shubah,bazzi,duri,susi]  ||  تَجْرِيَٰنِ [qalun,warsh]"
68779,55,237,52,alif_variant,روحاں,,,,2,"زَوۡجَانِ [hafs,shubah,bazzi,duri,susi]  ||  زَوْجَٰنِ [qalun,warsh]"
68790,55,248,54,rasm_variant,وحٮى,,,,2,"وَجَنَى [hafs,shubah,bazzi,duri,susi]  ||  وَجَنَا [qalun,warsh]"
68828,55,286,62,alif_variant,حٮٮاں,,,,2,"جَنَّتَانِ [hafs,shubah,bazzi,duri,susi]  ||  جَنَّتَٰنِ [qalun,warsh]"
68833,55,291,64,alif_variant,مدهامٮاں,,,,2,"مُدۡهَآمَّتَانِ [hafs,shubah,bazzi,duri,susi]  ||  مُدْهَآمَّتَٰنِ [qalun,warsh]"
68839,55,297,66,alif_variant,عٮٮاں,,,,3,"عَيۡنَانِ [hafs,shubah,bazzi,duri]  ||  عَيْنَٰنِ [qalun,warsh]  ||  عَيۡنَان [susi]"
68840,55,298,66,alif_variant,ٮصاحٮاں,,,,3,"نَضَّاخَتَانِ [hafs,shubah,bazzi,duri]  ||  نَضَّاخَتَٰنِ [qalun,warsh]  ||  نَّضَّاخَتَانِ [susi]"
68899,56,6,2,alif_variant,كادٮه,,,,2,"كَاذِبَةٌ [hafs,shubah,bazzi,duri,susi]  ||  كَٰذِبَةٌ [qalun,warsh]"
69720,57,448,24,partial,هو,warsh|qalun,,,2,"هُوَ [hafs,shubah,bazzi,duri]  ||  هُّوَ [susi]"
69876,58,30,2,rasm_variant,الى,,,,6,"ٱلَِّٰٓٔي [hafs,shubah]  ||  ٱلَّٰٓيۡ [bazzi]  ||  ࡰ۬لَّٰٓئِے [qalun]  ||  ࡰ۬لٜےْ [warsh]  ||  اَ۬لَّٰٓيۡ [duri]  ||  ࡱ۬لَّٰٓيۡ [susi]"
70587,59,269,13,rasm_variant,لاٮٮم,,,,5,"لَأَنتُمۡ [hafs,shubah]  ||  لَأَنتُمُۥ [bazzi]  ||  لَأَنتُمْ [qalun]  ||  لَأَنتُمُۥٓ [warsh]  ||  لَأَاْنتُمۡ [duri,susi]"
70655,59,337,17,alif_variant,حلدٮں,,,,2,"خَٰلِدَيۡنِ [hafs,shubah,bazzi,duri,susi]  ||  خَالِدَيْنِ [qalun,warsh]"
71180,61,69,6,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
71302,61,191,14,rasm_variant,اٮصارا,,,,4,"أَنصَارَ [hafs,shubah]  ||  أَنصَارࣰا [bazzi,susi]  ||  أَنصَاراࣰ [qalun,warsh]  ||  أَنصَارٗا [duri]"
71303,61,192,14,rasm_variant,لله,,,,3,"ٱللَّهِ [hafs,shubah]  ||  لِّلَّهِ [bazzi,duri,susi]  ||  لِّلهِ [qalun,warsh]"
71323,61,212,14,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
72021,65,93,4,rasm_variant,والى,,,,6,"وَٱلَِّٰٓٔي [hafs,shubah]  ||  وَٱلَّٰٓيۡ [bazzi]  ||  وَالَّٰٓئِے [qalun]  ||  وَالٜےْ [warsh]  ||  وَاَلَّٰٓيۡ [duri]  ||  وَࡱلَّٰٓيۡ [susi]"
72032,65,104,4,rasm_variant,والى,,,,6,"وَٱلَِّٰٓٔي [hafs,shubah]  ||  وَٱلَّٰٓيۡ [bazzi]  ||  وَالَّٰٓئِے [qalun]  ||  وَالٜےْ [warsh]  ||  وَاَلَّٰٓيۡ [duri]  ||  وَࡱلَّٰٓيۡ [susi]"
72320,66,105,6,alif_variant,علاط,,,,3,"غِلَاظࣱ [hafs,shubah,bazzi,susi]  ||  غِلَٰظࣱ [qalun,warsh]  ||  غِلَاظٞ [duri]"
72411,66,196,10,alif_variant,صلحٮں,,,,2,"صَٰلِحَيۡنِ [hafs,shubah,bazzi,duri,susi]  ||  صَالِحَيْنِ [qalun,warsh]"
72412,66,197,10,alif_variant,ڡحاٮٮاهما,,,,2,"فَخَانَتَاهُمَا [hafs,shubah,bazzi,duri,susi]  ||  فَخَانَتَٰهُمَا [qalun,warsh]"
72841,68,44,10,alif_variant,حلاڡ,,,,3,"حَلَّافࣲ [hafs,shubah,bazzi,susi]  ||  حَلَّٰفࣲ [qalun,warsh]  ||  حَلَّافٖ [duri]"
73060,68,263,48,alif_variant,كصاحٮ,,,,2,"كَصَاحِبِ [hafs,shubah,bazzi,duri,susi]  ||  كَصَٰحِبِ [qalun,warsh]"
73950,72,152,16,word_boundary,واں,,hafs|shubah|bazzi,,2,"وَأَلَّوِ [hafs,shubah,bazzi]  ||  وَأَن [qalun,warsh,duri,susi]"
73951,72,153,16,word_boundary,لو,,hafs|shubah|bazzi,,2,"وَأَلَّوِ [hafs,shubah,bazzi]  ||  لَّوِ [qalun,warsh,duri,susi]"
73986,72,188,20,rasm_variant,ڡال,,,,2,"قُلۡ [hafs,shubah]  ||  قَالَ [bazzi,qalun,warsh,duri,susi]"
74226,73,142,20,word_boundary,اں,,duri|susi,,2,"أَن [hafs,shubah,bazzi,qalun,warsh]  ||  أَلَّن [duri,susi]"
74227,73,143,20,word_boundary,لں,,duri|susi,,2,"لَّن [hafs,shubah,bazzi,qalun,warsh]  ||  أَلَّن [duri,susi]"
74439,74,156,33,rasm_variant,ادا,,,,4,"إِذۡ [hafs]  ||  إِذَا [shubah,bazzi,duri,susi]  ||  إِذْ [qalun]  ||  إِذَ [warsh]"
74440,74,157,33,rasm_variant,دٮر,,,,4,"أَدۡبَرَ [hafs]  ||  دَبَرَ [shubah,bazzi,duri,susi]  ||  أَدْبَرَ [qalun]  ||  ࡰدْبَرَ [warsh]"
74539,75,1,1,word_boundary,لا,,,bazzi,3,"لَآ [hafs,shubah,warsh,duri]  ||  لَأُ [bazzi]  ||  لَا [qalun,susi]"
74540,75,2,1,word_boundary,اڡسم,,,bazzi,4,"أُقۡسِمُ [hafs,shubah,duri]  ||  اْقۡسِمُ [bazzi]  ||  أُقْسِمُ [qalun,warsh]  ||  أُقۡسِم [susi]"
75246,78,120,35,alif_variant,كدٮا,,,,3,"كِذَّٰبࣰا [hafs,shubah,bazzi,susi]  ||  كِذَّاباࣰ [qalun,warsh]  ||  كِذَّٰبٗا [duri]"
75294,78,168,40,alif_variant,ٮداه,,,,3,"يَدَاهُ [hafs,shubah,duri,susi]  ||  يَدَاهُۥ [bazzi]  ||  يَدَٰهُ [qalun,warsh]"
75680,81,69,22,alif_variant,صاحٮكم,,,,3,"صَاحِبُكُم [hafs,shubah,duri,susi]  ||  صَاحِبُكُمُۥ [bazzi]  ||  صَٰحِبُكُم [qalun,warsh]"
75690,81,79,24,rasm_variant,ٮصٮٮں,,,,4,"بِضَنِينࣲ [hafs,shubah,qalun,warsh]  ||  بِضظَنِينࣲ [bazzi]  ||  بِضظَنِينٖ [duri]  ||  بِّضظَنِينࣲ [susi]"
76508,89,103,23,rasm_variant,وحاى,,,,2,"وَجِاْيٓءَ [hafs,shubah,bazzi,duri,susi]  ||  وَجِےٓءَ [qalun,warsh]"
76592,90,50,14,rasm_variant,اطعم,,,,4,"إِطۡعَٰمࣱ [hafs,shubah]  ||  أَطۡعَمَ [bazzi,duri,susi]  ||  إِطْعَامࣱ [qalun]  ||  ࡴطْعَامࣱ [warsh]"
76668,91,44,13,alif_variant,وسڡٮها,,,,4,"وَسُقۡيَٰهَا [hafs,shubah,bazzi]  ||  وَسُقْيَاهَا [qalun,warsh]  ||  وَسُقۡيٰۭهَا [duri]  ||  وَسُقۡيٰ۪هَا [susi]"
76676,91,52,15,rasm_variant,ولا,,,,2,"وَلَا [hafs,shubah,bazzi,duri,susi]  ||  فَلَا [qalun,warsh]"
77259,106,3,2,rasm_variant,الڡهم,,,,4,"إِۦلَٰفِهِمۡ [hafs,shubah,duri,susi]  ||  إِۦلَٰفِهِمُۥ [bazzi]  ||  إِيلَٰفِهِمْ [qalun]  ||  ࡴيلَٰفِهِمْ [warsh]"
